timestamp,solar_irradiance,wind_speed,temperature,cloud_cover,solar_kw,wind_kw,demand_kw,battery_soc_kwh,battery_soc_pct,hour_of_day,day_of_week,is_weekend,solar_kw_roll3h,solar_kw_roll24h,wind_kw_roll3h,wind_kw_roll24h,demand_kw_roll3h,demand_kw_roll24h,solar_kw_lag24h,wind_kw_lag24h,demand_kw_lag24h
2025-01-02 00:00:00,0.0,1.67,11.73,58.4,0.0,0.0,23.910098281013497,0.0,0.0,0,3,0,0.0,8.8455,0.0,0.0,28.73027145378592,47.0905800072863,0.0,0.0,23.368674554129843
2025-01-02 01:00:00,0.0,1.45,11.41,60.15,0.0,0.0,25.38640848926373,0.0,0.0,1,3,0,0.0,8.8455,0.0,0.0,26.42468494251996,47.15790619192365,0.0,0.0,23.77058005796764
2025-01-02 02:00:00,0.0,1.28,11.59,87.63,0.0,0.0,22.98706476226419,0.0,0.0,2,3,0,0.0,8.8455,0.0,0.0,24.094523844180472,47.06338623101771,0.0,0.0,25.255543824006534
2025-01-02 03:00:00,0.0,1.12,11.49,94.87,0.0,0.0,26.60010589021421,0.0,0.0,3,3,0,0.0,8.8455,0.0,0.0,24.99119304724738,47.11314741048077,0.0,0.0,25.40583758310049
2025-01-02 04:00:00,0.0,0.98,11.36,91.6,0.0,0.0,28.789122537845163,0.0,0.0,4,3,0,0.0,8.8455,0.0,0.0,26.125431063441187,47.20845712793519,0.0,0.0,26.501689318939395
2025-01-02 05:00:00,0.0,0.89,11.21,82.81,0.0,0.0,29.636180771661056,0.0,0.0,5,3,0,0.0,8.8455,0.0,0.0,28.34180306657348,47.30514493999406,0.0,0.0,27.315673282248085
2025-01-02 06:00:00,0.0,0.9,10.99,67.93,0.0,0.0,32.03186591784694,0.0,0.0,6,3,0,0.0,8.8455,0.0,0.0,30.152389742451053,47.33921257105114,0.0,0.0,31.21424277247716
2025-01-02 07:00:00,77.45,1.0,11.36,57.9,6.196000000000001,0.0,33.75390210516451,0.0,0.0,7,3,0,2.0653333333333337,8.9605,0.0,0.0,31.80731626489084,47.11186019087708,3.436,0.0,39.21035922934196
2025-01-02 08:00:00,239.12,1.18,13.07,50.06,19.1296,0.0,44.61299228807952,0.0,0.0,8,3,0,8.441866666666668,9.3215,0.0,0.0,36.79958677036365,47.15325955436063,10.4656,0.0,43.619407564474336
2025-01-02 09:00:00,395.35,1.03,14.67,40.38,31.628000000000004,0.0,50.97914620154338,0.0,0.0,9,3,0,18.98453333333333,9.9295,0.0,0.0,43.11534686492914,47.222507267636765,17.036,0.0,49.31720108291599
2025-01-02 10:00:00,518.17,1.32,17.67,31.41,41.4536,0.0,58.0243804305334,0.0,0.0,10,3,0,30.737066666666667,10.717633333333334,0.0,0.0,51.20550630671877,47.18989302957218,22.538400000000003,0.0,58.80712214408346
2025-01-02 11:00:00,657.0,1.57,20.04,11.95,52.56,0.0,74.38478993245569,0.0,0.0,11,3,0,41.88053333333334,11.5678,0.0,0.0,61.12943885484415,47.69099481118493,32.156,0.0,62.35834717374962
2025-01-02 12:00:00,670.28,1.6,21.25,14.43,53.6224,0.0,66.17477128175983,0.0,0.0,12,3,0,49.212,12.156566666666668,0.0,0.0,66.1946472149163,47.42951139653339,39.492,0.0,72.45037323339665
2025-01-02 13:00:00,596.4,1.49,21.78,11.12,47.712,0.0,74.50199702930605,0.0,0.0,13,3,0,51.29813333333334,12.719733333333332,0.0,0.0,71.68718608117386,47.43243609044717,34.196,0.0,74.43180437537579
2025-01-02 14:00:00,454.42,1.29,21.99,29.58,36.3536,0.0,81.90518983944521,0.0,0.0,14,3,0,45.896,13.067133333333336,0.0,0.0,74.19398605017037,47.65594193397987,28.016000000000005,0.0,76.54104959466021
2025-01-02 15:00:00,278.38,0.94,21.6,48.26,22.2704,0.0,80.1610775468966,0.0,0.0,15,3,0,35.44533333333333,13.240833333333336,0.0,0.0,78.8560881385493,47.81611291859155,18.1016,0.0,76.31697391621623
2025-01-02 16:00:00,98.05,0.58,20.13,68.06,7.844,0.0,70.3007520322436,0.0,0.0,16,3,0,22.156,13.282066666666667,0.0,0.0,77.45567313952847,47.52609901296142,6.854400000000002,0.0,77.26108576736708
2025-01-02 17:00:00,0.0,0.81,18.67,91.89,0.0,0.0,68.21752455155553,0.0,0.0,17,3,0,10.038133333333333,13.282066666666667,0.0,0.0,72.89311804356525,47.51232886446572,0.0,0.0,68.54800811545194
2025-01-02 18:00:00,0.0,1.65,16.96,85.5,0.0,0.0,54.33386640236711,0.0,0.0,18,3,0,2.614666666666667,13.282066666666667,0.0,0.0,64.28404766205541,47.293228509504566,0.0,0.0,59.59227492143474
2025-01-02 19:00:00,0.0,2.24,15.49,90.92,0.0,0.0,45.53903200612962,0.0,0.0,19,3,0,0.0,13.282066666666667,0.0,0.0,56.03014098668408,47.15137661922629,0.0,0.0,48.9434773728083
2025-01-02 20:00:00,0.0,2.57,14.31,83.54,0.0,0.0,39.09442153573912,0.0,0.0,20,3,0,0.0,13.282066666666667,0.0,0.0,46.32243998141195,47.0014939944465,0.0,0.0,42.69160453045425
2025-01-02 21:00:00,0.0,2.68,13.49,58.62,0.0,0.0,35.9119774383165,0.0,0.0,21,3,0,0.0,13.282066666666667,0.0,0.0,40.18181032672842,47.06322430633286,0.0,0.0,34.43044995304366
2025-01-02 22:00:00,0.0,2.67,12.93,28.56,0.0,0.0,33.25594015837952,0.0,0.0,22,3,0,0.0,13.282066666666667,0.0,0.0,36.08744637747838,47.10292314530445,0.0,0.0,32.30316802306162
2025-01-02 23:00:00,0.0,2.6,12.43,8.31,0.0,0.0,32.14537709333393,0.0,0.0,23,3,0,0.0,13.282066666666667,0.0,0.0,33.77109823000998,47.19324935513991,0.0,0.0,29.977548057282643
