timestamp,solar_irradiance,wind_speed,temperature,cloud_cover
2025-01-01 00:00:00,0.0,2.16,9.28,55.78
2025-01-01 01:00:00,0.0,2.17,8.68,60.96
2025-01-01 02:00:00,0.0,2.14,8.22,90.44
2025-01-01 03:00:00,0.0,2.02,8.01,98.48
2025-01-01 04:00:00,0.0,1.8,8.01,99.49
2025-01-01 05:00:00,0.0,1.61,8.01,99.54
2025-01-01 06:00:00,0.0,1.51,7.92,98.02
2025-01-01 07:00:00,42.95,1.3,8.91,99.55
2025-01-01 08:00:00,130.82,1.27,11.64,95.92
2025-01-01 09:00:00,212.95,1.15,14.43,94.05
2025-01-01 10:00:00,281.73,1.0,18.34,92.11
2025-01-01 11:00:00,401.95,0.75,20.08,73.45
2025-01-01 12:00:00,493.65,0.46,21.3,54.0
2025-01-01 13:00:00,427.45,0.57,22.17,49.75
2025-01-01 14:00:00,350.2,0.7,22.46,43.82
2025-01-01 15:00:00,226.27,0.76,21.79,37.83
2025-01-01 16:00:00,85.68,0.77,19.94,27.78
2025-01-01 17:00:00,0.0,1.1,17.92,13.58
2025-01-01 18:00:00,0.0,1.55,16.45,4.52
2025-01-01 19:00:00,0.0,1.81,15.36,1.52
2025-01-01 20:00:00,0.0,2.03,14.14,1.01
2025-01-01 21:00:00,0.0,2.1,13.2,15.05
2025-01-01 22:00:00,0.0,1.99,12.62,83.42
2025-01-01 23:00:00,0.0,1.84,12.15,77.89
2025-01-02 00:00:00,0.0,1.67,11.73,58.4
2025-01-02 01:00:00,0.0,1.45,11.41,60.15
2025-01-02 02:00:00,0.0,1.28,11.59,87.63
2025-01-02 03:00:00,0.0,1.12,11.49,94.87
2025-01-02 04:00:00,0.0,0.98,11.36,91.6
2025-01-02 05:00:00,0.0,0.89,11.21,82.81
2025-01-02 06:00:00,0.0,0.9,10.99,67.93
2025-01-02 07:00:00,77.45,1.0,11.36,57.9
2025-01-02 08:00:00,239.12,1.18,13.07,50.06
2025-01-02 09:00:00,395.35,1.03,14.67,40.38
2025-01-02 10:00:00,518.17,1.32,17.67,31.41
2025-01-02 11:00:00,657.0,1.57,20.04,11.95
2025-01-02 12:00:00,670.28,1.6,21.25,14.43
2025-01-02 13:00:00,596.4,1.49,21.78,11.12
2025-01-02 14:00:00,454.42,1.29,21.99,29.58
2025-01-02 15:00:00,278.38,0.94,21.6,48.26
2025-01-02 16:00:00,98.05,0.58,20.13,68.06
2025-01-02 17:00:00,0.0,0.81,18.67,91.89
2025-01-02 18:00:00,0.0,1.65,16.96,85.5
2025-01-02 19:00:00,0.0,2.24,15.49,90.92
2025-01-02 20:00:00,0.0,2.57,14.31,83.54
2025-01-02 21:00:00,0.0,2.68,13.49,58.62
2025-01-02 22:00:00,0.0,2.67,12.93,28.56
2025-01-02 23:00:00,0.0,2.6,12.43,8.31
2025-01-03 00:00:00,0.0,2.56,11.8,13.0
2025-01-03 01:00:00,0.0,2.6,10.98,14.87
2025-01-03 02:00:00,0.0,2.59,10.24,6.53
2025-01-03 03:00:00,0.0,2.55,9.58,16.68
2025-01-03 04:00:00,0.0,2.41,9.21,12.57
2025-01-03 05:00:00,0.0,2.21,9.13,27.11
2025-01-03 06:00:00,0.0,1.97,9.32,27.39
2025-01-03 07:00:00,85.1,1.66,10.82,27.07
2025-01-03 08:00:00,258.1,1.77,14.07,27.07
2025-01-03 09:00:00,421.2,1.51,16.39,26.2
2025-01-03 10:00:00,556.05,1.83,19.66,25.31
2025-01-03 11:00:00,682.72,2.24,22.49,8.69
2025-01-03 12:00:00,687.97,2.25,24.3,18.12
2025-01-03 13:00:00,625.85,2.18,25.26,3.74
2025-01-03 14:00:00,494.2,1.83,25.15,4.68
2025-01-03 15:00:00,311.6,1.19,24.31,5.93
2025-01-03 16:00:00,115.22,0.96,21.87,6.95
2025-01-03 17:00:00,0.0,1.55,19.39,7.48
2025-01-03 18:00:00,0.0,2.11,17.9,8.41
2025-01-03 19:00:00,0.0,2.45,16.48,9.34
2025-01-03 20:00:00,0.0,2.56,15.46,10.27
2025-01-03 21:00:00,0.0,2.53,14.78,11.2
2025-01-03 22:00:00,0.0,2.47,14.19,12.14
