timestamp,solar_irradiance,wind_speed,temperature,cloud_cover,solar_kw,wind_kw,demand_kw,battery_soc_kwh,battery_soc_pct
2025-01-01 00:00:00,0.0,2.16,9.28,55.78,0.0,0.0,23.368674554129843,25.0,50.0
2025-01-01 01:00:00,0.0,2.17,8.68,60.96,0.0,0.0,23.770580057967642,15.0,30.0
2025-01-01 02:00:00,0.0,2.14,8.22,90.44,0.0,0.0,25.255543824006534,5.0,10.0
2025-01-01 03:00:00,0.0,2.02,8.01,98.48,0.0,0.0,25.40583758310049,0.0,0.0
2025-01-01 04:00:00,0.0,1.8,8.01,99.49,0.0,0.0,26.501689318939395,0.0,0.0
2025-01-01 05:00:00,0.0,1.61,8.01,99.54,0.0,0.0,27.315673282248085,0.0,0.0
2025-01-01 06:00:00,0.0,1.51,7.92,98.02,0.0,0.0,31.214242772477157,0.0,0.0
2025-01-01 07:00:00,42.95,1.3,8.91,99.55,3.436,0.0,39.21035922934196,0.0,0.0
2025-01-01 08:00:00,130.82,1.27,11.64,95.92,10.4656,0.0,43.619407564474336,0.0,0.0
2025-01-01 09:00:00,212.95,1.15,14.43,94.05,17.036,0.0,49.31720108291599,0.0,0.0
2025-01-01 10:00:00,281.73,1.0,18.34,92.11,22.538400000000003,0.0,58.80712214408346,0.0,0.0
2025-01-01 11:00:00,401.95,0.75,20.08,73.45,32.156,0.0,62.35834717374962,0.0,0.0
2025-01-01 12:00:00,493.65,0.46,21.3,54.0,39.492,0.0,72.45037323339665,0.0,0.0
2025-01-01 13:00:00,427.45,0.57,22.17,49.75,34.196,0.0,74.43180437537579,0.0,0.0
2025-01-01 14:00:00,350.2,0.7,22.46,43.82,28.016000000000005,0.0,76.54104959466021,0.0,0.0
2025-01-01 15:00:00,226.27,0.76,21.79,37.83,18.1016,0.0,76.31697391621623,0.0,0.0
2025-01-01 16:00:00,85.68,0.77,19.94,27.78,6.854400000000002,0.0,77.26108576736708,0.0,0.0
2025-01-01 17:00:00,0.0,1.1,17.92,13.58,0.0,0.0,68.54800811545194,0.0,0.0
2025-01-01 18:00:00,0.0,1.55,16.45,4.52,0.0,0.0,59.59227492143474,0.0,0.0
2025-01-01 19:00:00,0.0,1.81,15.36,1.52,0.0,0.0,48.9434773728083,0.0,0.0
2025-01-01 20:00:00,0.0,2.03,14.14,1.01,0.0,0.0,42.69160453045425,0.0,0.0
2025-01-01 21:00:00,0.0,2.1,13.2,15.05,0.0,0.0,34.43044995304366,0.0,0.0
2025-01-01 22:00:00,0.0,1.99,12.62,83.42,0.0,0.0,32.30316802306162,0.0,0.0
2025-01-01 23:00:00,0.0,1.84,12.15,77.89,0.0,0.0,29.977548057282643,0.0,0.0
